Ticker
LJPC
CTRV
PLX
INSY
BKS
OESX
KOOL
LGCY
OBLN
JE
CDTX
MOSY
CFRX
SNCR
PTGX
UWT
ARCW
FLKS
ONCS
ACRX
XBIO
SNAP
HMHC
ZYXI
NPTN
SUNW
ENT
SBLK
XOG
ELF
GSM
DERM
IFRX
SRCI
NCNA
BGCP
RGSE
LSCC
GORO
JILL
SM
WPRT
AREX
AVP
NBY
GOL
CIG
SID
COTY
OTLK
CCC
VIAV
CFMS
QEP
PTEN
CTL
UMC
MDR
STAR
FLEX
AMR
GUSH
WTI
LPI
ZUO
USO
APHA
HMY
WPX
ECA
ETM
SPWR
CRZO
ONDK
NEWM
SESN
TIVO
CLF
CPE
HPR
AVYA
BBD
TSU
UGP
PBR-A
GOLD
NIHD
TELL
UUUU
BDSI
CVE
AG
AWP
BFR
JNUG
TME
AGI
TTMI
TNK
HBM
TOO
ABEV
KOS
GME
DBD
SONO
LEE
GASL
OIBR-C
CPG
PBR
CHK
CNSL
PSEC
NOG
AKS
FTR
AU
ODP
GT
USAT
RIG
DFRG
CSTM
AMKR
MGY
BTG
OAS
BEST
BTE
PVG
VGR
BILI
GCI
JAG
DHT
CDE
SWCH
CZR
HIX
FSK
BRFS
BKD
FET
ET
UPWK
PGRE
VALE
AOBC
EGO
NK
AMZA
MTG
X
OIH
DX
FCX
IGT
SNH
INFY
FCAU
TRQ
FNB
PLUG
SIRI
SOI
MBT
ENIA
IAG
TZA
ITUB
MUX
NLY
AROC
WTTR
AXAS
VNTR
CMC
TXMD
VFF
ZNGA
VG
GGB
ERF
PHYS
MNK
PDS
CZZ
MBI
LBRT
EXK
PRTY
SBGL
ROAN
WETF
CPLG
NYMT
SUPV
TWO
AM
ADVM
MLPA
MRO
GGN
EPZM
AT
CUZ
LXP
IBN
RLGY
ERIC
PVT
FSM
CLNY
PHK
CYH
TERP
MFG
SAND
GE
GLDM
PES
LHC
ESI
SLV
SMFG
GPK
KGC
NG
IAU
AKRX
VER
AMLP
EAF
UBS
SSRM
EVV
MFA
CBLK
SXC
JQC
TLYS
XES
CNHI
VLY
AMBR
RPT
VVR
WIT
FAX
CCO
FHN
ACCO
APPS
KEYW
NAT
HL
HMNY
CVRS
BCRX
SPN
COT
TTPH
QRTEA
SBS
USA
KT
NWSA
GFI
CCJ
SLM
PGX
ENIC
UIS
SAN
VIV
RPAI
NEPT
ING
PVTL
TROX
HBAN
F
HEXO
NWS
ANGI
LYG
DDD
RUBI
RBS
ISBC
SFL
VEDL
AEG
INSG
NAVI
AUY
EVLV
NMRK
NE
GSKY
OPK
MWA
BSMX
TGTX
TRUE
CTST
VSLR
HIMX
NOK
FEYE
ADT
ALTM
LC
BLDR
ENLC
NVCN
HPE
SMI
LLEX
ESTE
BB
BCS
PAAS
ABR
AMC
SITC
CMO
GOGO
FRAC
SWN
VEON
PACB
SFUN
NYCB
CENX
FIT
RF
NGL
CS
HOPE
ATNX
NWL
RAD
MGNX
CERS
SMTA
PPDF
SDRL
LOMA
PTE
IMMU
MEET
CLIR
CNDT
BT
MDRX
CDEV
PGNX
UQM
TTOO
ESV
TEVA
S
SHO
TPH
OSUR
OCUL
OMI
RES
FAZ
DNR
WPG
XENE
OBE
SEMG
TRXC
CBL
CGIX
SLCA
VSTM
TEN
REI
EVRI
FI
LTHM
CJ
MVIS
AXL
DRH
RRD
CNX
TTM
AMX
ATRS
AVGR
ZAGG
INVA
CLVS
BIOS
MAT
VSI
LGF-B
CX
DPLO
JCP
DPW
SOGO
REGI
LCI
PDLI
VRRM
LODE
ZYNE
AR
SGMO
PBI
ORBC
LGF-A
CLNE
PBYI
CRBP
APRN
FBP
QUOT
SY
PEI
CNR
UNFI
QD
SPPI
DB
GPRO
HEAR
NGD
EXTR
ACB
MOBL
IRWD
LX
FTSI
SIEN
OGEN
CORT
AKBA
AMRX
GNW
DRIP
CCXI
HK
DO
IMGN
UEC
GMO
LL
BLRX
CPRX
BNED
LLNW
RRC
RYAM
UNIT
INFN
ORTX
NBR
RIGL
COOP
INO
MGI
TECS
SRNE
GPOR
CLDX
GTE
FRAN
ATNM
QTT
BBBY
BIOC
ALDR
AMRH
WKHS
VIPS
SENS
ASX
OSTK
NBEV
VRA
PTI
VKTX
ACHN
FOLD
SOXS
GSAT
ZIOP
DVAX
EIGR
XON
GERN
TIGR
YRCW
FRED
AXU
FOSL
KDMN
ADRO
NVLN
PIR
GRPN
BTX
FPRX
NBRV
FLDM
GNMX
XXII
TLRD
TK
VERI
BITA
YUMA
TRVN
TEUM
HEB
CHS
UXIN
BE
MAXR
TLRA
AHT
CEI
NIO
RVLT
VNDA
XNET
PTN
FTD
ASNA
TTS
CBAY
BPMX
ITCI
TOPS
ACOR
NLS
MLNT
AQMS
VTVT
ONVO
AVEO
GLUU
SRRA
EVH
DWT
GNC
UPL
GTXI
GNCA
AFH
ANFI
WTRH
XRF
AFMD
ARQL
EXPR
SNSS
BLCM
HLTH
TBLT
MIK
ADMA
RIOT
CUI
XERS
AXGT
AMSC
FCEL
DLNG
JAGX
NAKD
YRIV
DXYN
RWLK
TUSK
SDT
SDR
CLDR
MTFB
DSS
EROS
KIRK
HOME
